都道府県名,年,国籍,年間訪問者数,第1四半期,第2四半期,第3四半期,第4四半期
岩手県,2016,イタリア,104,104,0,0,0
岩手県,2016,ロシア,101,101,0,0,0
岩手県,2016,カナダ,484,0,0,0,484
岩手県,2016,米国,3151,0,1895,816,440
岩手県,2016,オーストラリア,474,0,0,474,0
岩手県,2017,韓国,1274,430,844,0,0
岩手県,2017,中国,7911,2142,3157,1450,1162
岩手県,2017,台湾,33880,960,2319,2169,28432
岩手県,2017,香港,1810,1810,0,0,0
岩手県,2017,ベトナム,0,0,0,0,0
岩手県,2017,タイ,1502,0,0,0,1502
岩手県,2017,シンガポール,0,0,0,0,0
岩手県,2017,マレーシア,425,425,0,0,0
岩手県,2017,フィリピン,0,0,0,0,0
岩手県,2017,インドネシア,383,0,0,383,0
岩手県,2017,インド,0,0,0,0,0
岩手県,2017,英国,0,0,0,0,0
岩手県,2017,フランス,373,373,0,0,0
岩手県,2017,ドイツ,2104,0,844,844,416
岩手県,2017,スペイン,0,0,0,0,0
岩手県,2017,イタリア,111,111,0,0,0
岩手県,2017,ロシア,446,121,325,0,0
岩手県,2017,カナダ,451,0,0,451,0
岩手県,2017,米国,1703,0,0,1703,0
岩手県,2017,オーストラリア,1234,731,0,503,0
岩手県,2018,韓国,3220,1908,0,743,569
岩手県,2018,中国,7968,1796,3248,720,2204
岩手県,2018,台湾,49578,5846,10882,9724,23126
岩手県,2018,香港,5984,1355,1928,1606,1095
岩手県,2018,ベトナム,1292,0,487,805,0
岩手県,2018,タイ,3897,0,759,626,2512
岩手県,2018,シンガポール,1383,0,761,0,622
岩手県,2018,マレーシア,0,0,0,0,0
岩手県,2018,フィリピン,1737,329,1212,196,0
岩手県,2018,インドネシア,424,0,0,0,424
岩手県,2018,インド,0,0,0,0,0
岩手県,2018,英国,1867,591,0,0,1276
岩手県,2018,フランス,1627,773,137,0,717
岩手県,2018,ドイツ,848,0,122,268,458
岩手県,2018,スペイン,0,0,0,0,0
岩手県,2018,イタリア,0,0,0,0,0
岩手県,2018,ロシア,492,0,0,0,492
岩手県,2018,カナダ,1127,589,390,148,0
岩手県,2018,米国,5227,2543,979,778,927
岩手県,2018,オーストラリア,2277,468,415,172,1222
岩手県,2019,韓国,1666,225,444,192,805
岩手県,2019,中国,10017,4044,1772,1808,2393
岩手県,2019,台湾,86201,14226,18661,19781,33533
岩手県,2019,香港,12087,3373,4296,1511,2907
岩手県,2019,ベトナム,257,0,257,0,0
岩手県,2019,タイ,1775,877,138,215,545
岩手県,2019,シンガポール,2035,734,243,370,688
岩手県,2019,マレーシア,270,0,270,0,0
岩手県,2019,フィリピン,883,116,0,394,373
岩手県,2019,インドネシア,313,170,0,143,0
岩手県,2019,インド,565,0,0,0,565
岩手県,2019,英国,2120,391,800,487,442
岩手県,2019,フランス,2072,392,1082,154,444
岩手県,2019,ドイツ,403,0,261,142,0
岩手県,2019,スペイン,212,0,0,0,212
岩手県,2019,イタリア,222,0,0,0,222
岩手県,2019,ロシア,0,0,0,0,0
岩手県,2019,カナダ,1533,223,589,0,721
岩手県,2019,米国,2037,0,306,644,1087
岩手県,2019,オーストラリア,3427,1070,1253,0,1104
宮城県,2012,韓国,13440,2877,2433,3967,4163
宮城県,2012,中国,13437,2272,1869,8115,1181
宮城県,2012,台湾,19764,3436,2689,3660,9979
宮城県,2012,香港,3781,937,1335,305,1204
宮城県,2012,タイ,5702,1082,0,749,3871
宮城県,2012,シンガポール,465,0,0,184,281
宮城県,2012,マレーシア,1005,222,246,0,537
宮城県,2012,インド,118,0,0,118,0
宮城県,2012,英国,1984,411,407,207,959
宮城県,2012,フランス,1940,487,540,678,235
宮城県,2012,ドイツ,2409,790,284,865,470
宮城県,2012,ロシア,1557,290,101,454,712
宮城県,2012,カナダ,3196,656,1058,767,715
宮城県,2012,米国,12750,937,4169,5475,2169
宮城県,2012,オーストラリア,2860,276,874,1369,341
宮城県,2013,韓国,10876,2259,5394,1495,1728
宮城県,2013,中国,13322,534,3763,5382,3643
宮城県,2013,台湾,24897,2328,5990,6548,10031
宮城県,2013,香港,3960,1323,0,1717,920
宮城県,2013,タイ,6753,990,0,3045,2718
宮城県,2013,シンガポール,978,225,358,0,395
宮城県,2013,マレーシア,2042,0,399,250,1393
宮城県,2013,インド,503,0,0,283,220
宮城県,2013,英国,2340,384,267,703,986
宮城県,2013,フランス,1268,378,340,550,0
宮城県,2013,ドイツ,1281,0,315,503,463
宮城県,2013,ロシア,1695,322,464,383,526
宮城県,2013,カナダ,1178,231,465,209,273
宮城県,2013,米国,10685,1289,3442,4030,1924
宮城県,2013,オーストラリア,4148,248,2610,1290,0
宮城県,2014,韓国,16885,3676,3595,4650,4964
宮城県,2014,中国,21182,4254,3676,9699,3553
宮城県,2014,台湾,32866,4087,5299,8156,15324
宮城県,2014,香港,2663,1201,662,0,800
宮城県,2014,ベトナム,2497,857,0,1640,0
宮城県,2014,タイ,9192,698,0,0,8494
宮城県,2014,シンガポール,510,0,510,0,0
宮城県,2014,マレーシア,1355,0,0,436,919
宮城県,2014,フィリピン,781,0,781,0,0
宮城県,2014,インドネシア,1309,311,271,195,532
宮城県,2014,インド,0,0,0,0,0
宮城県,2014,英国,4119,852,599,1431,1237
